"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","02-Jul-2025","683.80","683.80","692.45","680.65","687.80","688.55","687.59","80,34,013","5,52,41,18,526.85","1,41,531","28,68,129","35.70"
"TATAMOTORS","EQ","03-Jul-2025","688.55","693.85","696.95","688.50","690.30","690.40","692.80","96,68,110","6,69,80,71,398.70","1,74,168","34,89,574","36.09"
"TATAMOTORS","EQ","04-Jul-2025","690.40","691.00","692.85","686.35","688.00","689.05","688.94","49,42,900","3,40,53,68,801.45","95,228","19,52,379","39.50"
"TATAMOTORS","EQ","07-Jul-2025","689.05","689.05","691.95","683.35","688.50","688.85","688.32","54,28,220","3,73,63,38,895.65","1,16,439","22,03,779","40.60"
"TATAMOTORS","EQ","08-Jul-2025","688.85","693.00","696.95","687.50","692.90","693.20","691.86","76,15,926","5,26,91,75,943.15","1,12,199","36,64,325","48.11"
"TATAMOTORS","EQ","09-Jul-2025","693.20","688.95","695.50","688.50","692.30","692.80","692.33","54,78,813","3,79,31,25,623.80","1,10,466","25,19,993","46.00"
"TATAMOTORS","EQ","10-Jul-2025","692.80","692.00","696.75","685.00","695.50","695.60","691.34","77,33,963","5,34,67,77,171.35","1,43,758","23,00,584","29.75"
"TATAMOTORS","EQ","11-Jul-2025","695.60","692.95","698.40","677.05","679.00","681.80","687.10","82,80,654","5,68,96,12,873.55","1,59,362","34,67,720","41.88"
"TATAMOTORS","BL","14-Jul-2025","1,017.65","681.80","681.80","681.80","681.80","681.80","681.80","6,96,601","47,49,42,561.80","1","-","-"
"TATAMOTORS","EQ","14-Jul-2025","681.80","681.00","681.00","672.00","674.80","674.50","676.24","77,48,550","5,23,98,78,236.40","1,81,930","43,77,029","56.49"
"TATAMOTORS","EQ","15-Jul-2025","674.50","676.00","685.95","674.30","683.00","684.40","681.06","70,41,706","4,79,58,41,533.20","1,35,711","31,98,924","45.43"
"TATAMOTORS","EQ","16-Jul-2025","684.40","684.40","684.40","676.35","679.00","679.00","679.14","62,44,205","4,24,06,68,251.55","1,12,327","27,88,026","44.65"
"TATAMOTORS","EQ","17-Jul-2025","679.00","679.00","686.90","678.15","682.20","681.70","683.00","65,98,144","4,50,65,01,664.55","1,18,601","35,99,824","54.56"
"TATAMOTORS","EQ","18-Jul-2025","681.70","683.20","686.00","678.00","680.45","680.25","681.57","55,58,670","3,78,86,33,741.95","92,747","25,42,397","45.74"
"TATAMOTORS","EQ","21-Jul-2025","680.25","680.50","688.50","671.25","687.45","687.45","681.79","67,31,863","4,58,96,85,772.90","1,26,501","21,09,906","31.34"
"TATAMOTORS","EQ","22-Jul-2025","687.45","688.00","688.85","672.35","675.50","673.40","677.29","77,49,518","5,24,86,79,553.20","1,90,083","39,99,551","51.61"
"TATAMOTORS","EQ","23-Jul-2025","673.40","676.70","693.10","676.25","690.90","690.10","688.74","1,44,60,727","9,95,96,11,739.50","1,96,481","57,25,243","39.59"
"TATAMOTORS","EQ","24-Jul-2025","690.10","692.70","706.50","692.30","701.30","700.50","702.13","1,51,97,664","10,67,06,85,136.65","2,06,983","54,06,183","35.57"
"TATAMOTORS","EQ","25-Jul-2025","700.50","701.00","702.45","684.70","687.55","687.40","690.76","72,71,718","5,02,29,96,036.80","1,43,186","27,30,121","37.54"
"TATAMOTORS","EQ","28-Jul-2025","687.40","690.70","700.50","681.40","684.05","682.90","690.61","77,88,718","5,37,89,90,005.55","1,41,239","27,28,770","35.03"
"TATAMOTORS","EQ","29-Jul-2025","682.90","681.90","694.00","680.60","691.75","692.35","688.52","62,39,871","4,29,62,80,668.20","1,35,285","29,35,078","47.04"
